attack_scenario,malicious_ratio,tau_min,tau_acc,rho,total_attempts,malicious_attempts,legitimate_attempts,malicious_accepted,malicious_rejected,legitimate_accepted,legitimate_rejected,reverification_count,reverification_success_count,outside_coverage_skipped,DetectionRate_percent,FAR_percent,FRR_percent,RTR_percent
replay,0.2,0.5,0.7,0.5,17399,2952,14447,0,2952,14407,40,1973,1527,306204,100.0,0.0,0.27687409150688724,11.339732168515432
false_data_injection,0.2,0.5,0.7,0.5,17399,2952,14447,0,2952,14407,40,1570,1527,306204,100.0,0.0,0.27687409150688724,9.023507098109087
sybil,0.2,0.5,0.7,0.5,23303,8856,14447,0,8856,14407,40,1834,1527,306204,100.0,0.0,0.27687409150688724,7.870231300690898
trust_manipulation,0.2,0.5,0.7,0.5,17399,2952,14447,2217,735,14407,40,4012,3259,306204,24.898373983739837,75.10162601626017,0.27687409150688724,23.05879648255647
mixed,0.2,0.5,0.7,0.5,18977,4530,14447,43,4487,14407,40,1756,1570,306204,99.05077262693156,0.9492273730684326,0.27687409150688724,9.25330663434684
